src_ip,dst_ip,dst_port,bytes_sent,bytes_received,login_attempts,process_name,duration_sec,label
10.0.0.2,10.0.0.57,443,2207.9133147276716,3943.5029293747402,2,explorer.exe,40.24639824830716,normal
10.0.0.6,10.0.0.53,443,2040.6392110280995,3036.7108521610257,1,outlook.exe,28.456359272261167,normal
198.51.100.23,10.0.0.1,2081,68.43306674432955,0.0,0,nmap.exe,0.22014684362102654,port_scan
10.0.0.8,10.0.0.52,443,2391.6793552620156,4296.083674584455,1,chrome.exe,24.42221520153923,normal
10.0.0.41,10.0.0.56,443,3017.936767590896,5011.862679180785,1,teams.exe,42.59316579895051,normal
10.0.0.11,10.0.0.59,80,2170.9126069774834,3486.1694987551464,1,explorer.exe,38.485379473419876,normal
10.0.0.22,10.0.0.53,80,1766.6205940242799,6056.724911280418,1,teams.exe,23.09960714007382,normal
10.0.0.5,10.0.0.58,80,2153.672808353985,3576.041887802393,2,teams.exe,38.374572023585124,normal
10.0.0.19,10.0.0.52,443,2226.7927617546093,5099.31381495135,1,teams.exe,36.558839906913896,normal
10.0.0.33,10.0.0.55,443,1784.8453400226788,6466.782556898976,2,explorer.exe,18.687390066099606,normal
10.0.0.23,10.0.0.54,80,1515.1281401826627,6867.462004161351,2,outlook.exe,17.16146113141361,normal
10.0.0.5,10.0.0.53,443,2483.913012012602,3372.6882720526846,1,svchost.exe,18.28585607906011,normal
10.0.0.18,10.0.0.56,80,2514.706550477663,6650.5729632328475,1,explorer.exe,26.11190214540627,normal
10.0.0.22,10.0.0.59,443,1717.9019100697567,5994.351519815424,2,explorer.exe,26.839007159489487,normal
10.0.0.45,10.0.0.56,80,3576.0283672560427,6991.370418416905,1,svchost.exe,19.858387347450325,normal
10.0.0.2,10.0.0.53,443,2377.8329193721574,3219.3743270925106,1,chrome.exe,35.072855076006384,normal
10.0.0.12,10.0.0.52,3389,2859.5203064209104,6346.099794514257,2,outlook.exe,37.690926629557495,normal
10.0.0.25,10.0.0.55,443,2105.6982837353294,3714.0002934835065,2,outlook.exe,27.939146269613964,normal
10.0.0.33,10.0.0.56,443,1383.4493474925725,5316.9520069841155,1,teams.exe,36.98686709353315,normal
10.0.0.49,10.0.0.57,80,2009.0084360222233,4057.939816425755,1,outlook.exe,27.94786993774037,normal
10.0.0.41,10.0.0.58,443,2485.1581008941407,4150.895149009777,1,svchost.exe,42.20471123186723,normal
10.0.0.28,10.0.0.52,80,2011.3154263384345,4941.2795728953715,1,chrome.exe,21.10508259511553,normal
10.0.0.30,10.0.0.57,443,1697.4218821970012,5863.437280189879,1,outlook.exe,61.0338440576487,normal
10.0.0.39,10.0.0.57,80,2247.0319594877597,4600.534509527147,2,outlook.exe,40.01831211261531,normal
10.0.0.17,10.0.0.56,80,1480.096734486558,4655.901971737667,2,explorer.exe,43.69883259952363,normal
10.0.0.33,10.0.0.59,53,2828.104126028648,3544.9453949094477,1,teams.exe,30.675310639804902,normal
10.0.0.44,10.0.0.54,80,2503.5786002983345,5568.273377152785,1,teams.exe,9.489775114739025,normal
10.0.0.24,10.0.0.57,53,2748.3552037229906,5335.968173440577,1,teams.exe,34.32435387656061,normal
198.51.100.23,10.0.0.24,41218,45.04733939998575,6.639797393354815,0,nmap.exe,0.2295332648352189,port_scan
10.0.0.10,10.0.0.54,80,2246.7801021671457,5139.653689565351,1,explorer.exe,37.40547535823682,normal
10.0.0.28,10.0.0.50,53,2109.2670212054727,4913.298863851791,1,chrome.exe,20.142519254979696,normal
10.0.0.23,10.0.0.58,80,2100.8264525646273,4612.370167336754,1,explorer.exe,6.81799909251151,normal
10.0.0.8,10.0.0.51,80,1787.1221976742047,5667.548080369996,1,svchost.exe,20.1875405139933,normal
10.0.0.6,10.0.0.55,443,1764.3681296487403,5306.389482073414,1,explorer.exe,31.563279155211028,normal
10.0.0.9,10.0.0.52,80,1740.666640189395,3592.7065565075973,1,explorer.exe,25.418406714067864,normal
10.0.0.42,10.0.0.56,443,1694.571180097467,4815.967600800997,1,teams.exe,33.449338425226124,normal
10.0.0.4,10.0.0.56,443,1081.8201081148013,3467.4817231703364,2,teams.exe,20.136254079476572,normal
10.0.0.36,10.0.0.51,443,1260.7265315006007,5662.841093021632,1,teams.exe,26.264256363470317,normal
10.0.0.14,10.0.0.50,80,2327.946068893791,5539.764512828342,2,chrome.exe,24.411573029287418,normal
10.0.0.23,10.0.0.56,80,1992.9505170466641,5557.137618403482,1,chrome.exe,27.309006813235325,normal
10.0.0.48,10.0.0.50,80,2380.4233271557387,2685.9559339998946,1,explorer.exe,21.492351513122724,normal
10.0.0.19,10.0.0.53,80,1830.120496176238,6435.570993163623,2,teams.exe,5.569163781510461,normal
10.0.0.35,10.0.0.59,443,3092.0483666902282,4283.426511575894,2,teams.exe,31.108964301634124,normal
10.0.0.16,10.0.0.51,80,1571.8257408593981,4926.892697991061,1,teams.exe,20.37225148732935,normal
10.0.0.7,10.0.0.50,80,1767.7094609421908,5028.775564080998,1,explorer.exe,38.73395536417283,normal
10.0.0.43,10.0.0.55,53,1733.4547989920834,5029.796165121425,2,explorer.exe,39.702157422712176,normal
10.0.0.4,10.0.0.55,443,1931.3445171055603,5147.755907400128,1,svchost.exe,29.69903292709467,normal
10.0.0.9,10.0.0.51,80,2286.0031391502366,5576.451345122423,1,chrome.exe,26.965606128630085,normal
10.0.0.33,10.0.0.53,443,2617.3759570223974,5072.153236821761,1,chrome.exe,36.02900045248154,normal
10.0.0.48,10.0.0.51,80,2838.6885439027446,5381.425617534342,1,teams.exe,22.818012394942382,normal
10.0.0.9,10.0.0.54,53,1908.3496452369013,2754.4141024348373,2,svchost.exe,24.89142324397616,normal
10.0.0.12,10.0.0.55,80,1234.7692951283116,4127.011033110647,2,teams.exe,19.45619804754584,normal
10.0.0.7,10.0.0.59,443,2675.5364462065695,3866.5789817073774,1,outlook.exe,35.32433728710316,normal
10.0.0.48,10.0.0.57,80,1914.8708766020472,5687.426755126504,2,teams.exe,29.791604472287624,normal
10.0.0.36,10.0.0.59,80,1470.7796831791736,3196.249515907504,1,explorer.exe,31.270426920149,normal
10.0.0.3,10.0.0.50,443,2364.4705972852253,4388.822847980673,1,chrome.exe,25.09173520085951,normal
10.0.0.21,10.0.0.58,80,1592.621998588226,4421.048242651077,1,svchost.exe,34.23645788533188,normal
10.0.0.42,10.0.0.50,80,2042.2333931949738,4220.624674739883,2,svchost.exe,40.22760556641225,normal
10.0.0.23,10.0.0.54,443,1472.4553159116524,4070.863659490242,1,chrome.exe,36.07203989744245,normal
10.0.0.48,10.0.0.57,443,1530.2683790070087,4421.540271123668,2,teams.exe,44.713149777599455,normal
10.0.0.25,10.0.0.58,443,2178.486379633463,5284.754593385568,1,explorer.exe,49.44828641568104,normal
10.0.0.45,10.0.0.53,443,1401.7210356916567,4552.1223550680415,1,teams.exe,23.529741997013435,normal
10.0.0.22,10.0.0.56,443,2311.703569139958,5337.766099054601,1,explorer.exe,22.383547610642363,normal
10.0.0.47,10.0.0.52,80,1745.3933187004327,4694.555297558318,1,explorer.exe,44.15348146998313,normal
10.0.0.31,10.0.0.55,443,910.8943401342849,5092.055137311992,1,explorer.exe,11.969132382548775,normal
10.0.0.27,10.0.0.53,80,807.8466056071272,4662.184905808597,2,svchost.exe,40.966131834620526,normal
10.0.0.27,10.0.0.55,443,2138.3003827555904,4487.411203021491,1,svchost.exe,28.57579264912435,normal
10.0.0.17,10.0.0.51,80,2470.590933209985,4074.11009610885,1,outlook.exe,46.9688981958064,normal
10.0.0.29,10.0.0.53,80,1163.553049344213,5734.476745001218,1,svchost.exe,38.655587656739854,normal
10.0.0.41,10.0.0.50,80,2154.0049511086704,5815.754486652069,1,chrome.exe,29.285703537624947,normal
10.0.0.34,10.0.0.53,443,1765.4345728947956,4176.163130358846,1,chrome.exe,37.69820903157787,normal
10.0.0.36,10.0.0.54,80,1825.280336391522,6244.565160355256,1,chrome.exe,37.81724188314313,normal
10.0.0.7,10.0.0.51,80,1507.6726075763688,4653.228423233288,2,chrome.exe,34.224050828319214,normal
10.0.0.35,10.0.0.51,443,1614.1295927016088,5241.802071555749,1,teams.exe,35.9134758190864,normal
10.0.0.6,10.0.0.54,443,1843.6657771338214,4485.061293566728,1,explorer.exe,19.120776214063437,normal
10.0.0.26,10.0.0.53,443,2478.147501045673,4691.0399854020925,1,explorer.exe,32.68705452946874,normal
10.0.0.31,10.0.0.51,443,2022.745738165376,4106.40498628088,1,chrome.exe,24.53776315533894,normal
